,FPR,TPR,model
0,0.0,0.0,nf_10
1,0.0007712015977234316,0.006009264769372586,nf_10
2,0.001756495634936448,0.012196473786770282,nf_10
3,0.002962914345052941,0.018764852996658928,nf_10
4,0.004265440245159284,0.025762048673099888,nf_10
5,0.005688295472569992,0.03273882451780026,nf_10
6,0.007193193423142768,0.04007537835031096,nf_10
7,0.008241777561080807,0.04476902253182577,nf_10
8,0.009962330669679588,0.05245854774156661,nf_10
9,0.01187822359533091,0.06044367432507594,nf_10
10,0.013963671482183837,0.06887414771511806,nf_10
11,0.016138194325612722,0.0772598919499189,nf_10
12,0.018595569224133687,0.08593151382908795,nf_10
13,0.020809160030973082,0.09363562463292921,nf_10
14,0.02337123707143421,0.10255033974710524,nf_10
15,0.026030202661153395,0.11153117622120318,nf_10
16,0.02872354805867383,0.12055576947760237,nf_10
17,0.03157629074690914,0.13001987530289416,nf_10
18,0.03455483227732628,0.13936243451068248,nf_10
19,0.03775215440284227,0.1488362640653746,nf_10
20,0.040851025260563785,0.15827800531304576,nf_10
21,0.04436323517116847,0.16844124728221763,nf_10
22,0.048195802381739324,0.17899052130858062,nf_10
23,0.05209478513010804,0.18956410465844428,nf_10
24,0.05677200170961408,0.20081640432044745,nf_10
25,0.060941334764783514,0.21122662901638642,nf_10
26,0.06549353386137592,0.22244684037136866,nf_10
27,0.07040906501768607,0.23402585734122122,nf_10
28,0.07514957169791713,0.24549596854179065,nf_10
29,0.0805987712344148,0.2570360905940421,nf_10
30,0.08613704572748845,0.26868900790733674,nf_10
31,0.09107758038038131,0.27952124245924787,nf_10
32,0.09640176243396538,0.2907132549989693,nf_10
33,0.10155638952634782,0.30156590938262096,nf_10
34,0.10675164730067721,0.31213074137602437,nf_10
35,0.10798463222591284,0.3147843471293606,nf_10
36,0.11383076227066129,0.3259014869526999,nf_10
37,0.1192823058849636,0.3366024511577072,nf_10
38,0.12538159633261214,0.34771083962458627,nf_10
39,0.13186219010314723,0.35910607810877354,nf_10
40,0.13818494930150388,0.3700073511394266,nf_10
41,0.144282677030616,0.3807316522949946,nf_10
42,0.15110003664574967,0.39203257060399915,nf_10
43,0.15449113586978178,0.39748466567873575,nf_10
44,0.16254226176941933,0.40958098505268314,nf_10
45,0.17005971928886932,0.42119500744837673,nf_10
46,0.17899065572451148,0.433739590747677,nf_10
47,0.18909128698466426,0.4467411893287904,nf_10
48,0.19779250379545266,0.45918464584232777,nf_10
49,0.20649293924697282,0.47152405845128215,nf_10
50,0.21623101980667608,0.4842864532891487,nf_10
51,0.22864994401560843,0.4991190301163347,nf_10
52,0.23358657187216025,0.505883828660109,nf_10
53,0.24357312467915435,0.5181610094009016,nf_10
54,0.2557623292632329,0.5324082177181908,nf_10
55,0.2700588597936743,0.5492779158547353,nf_10
56,0.28021418620260174,0.5611155840266352,nf_10
57,0.2905640710693136,0.5732099586547026,nf_10
58,0.29428959206013966,0.5772151627946777,nf_10
59,0.305968569042077,0.5898229503350797,nf_10
60,0.31714903881089623,0.6018939880125864,nf_10
61,0.3272238852151981,0.6124685437353901,nf_10
62,0.3389427115198141,0.6239629642594602,nf_10
63,0.35072404656588696,0.6352979156213657,nf_10
64,0.36158806583108105,0.6459522059252517,nf_10
65,0.37386243857539453,0.6571354671085129,nf_10
66,0.3875229426615128,0.6682389937106918,nf_10
67,0.3876956230597873,0.6683751259222958,nf_10
68,0.3994910225726879,0.6783837605940032,nf_10
69,0.41027534319252457,0.6878614796404554,nf_10
70,0.4225747194334208,0.6975414522584333,nf_10
71,0.43725724144235795,0.7081694884929386,nf_10
72,0.45237107376734714,0.7191786949199348,nf_10
73,0.465200992951358,0.7284911105665822,nf_10
74,0.48119854260869294,0.7393359859667137,nf_10
75,0.4859320170555101,0.7422871378396985,nf_10
76,0.5044431994786771,0.7548657541918997,nf_10
77,0.5218456331002539,0.7656114475521484,nf_10
78,0.5377712977049134,0.7751163930409214,nf_10
79,0.5581811831498311,0.7871699280055076,nf_10
80,0.5824673919243394,0.7996386662154856,nf_10
81,0.6022959460737087,0.843836905831515,nf_10
82,0.626493079891641,0.8563484284508543,nf_10
83,0.650937904597596,0.8697467551914991,nf_10
84,0.6666736989000805,0.8772709770014352,nf_10
85,0.6861553295343645,0.8863996141624174,nf_10
86,0.7103469938374195,0.8976013504315391,nf_10
87,0.7312194439691175,0.9075098306904237,nf_10
88,0.7507034186812062,0.9160988008696903,nf_10
89,0.7727299364520507,0.9255697133055624,nf_10
90,0.7932367104462265,0.9345806933408012,nf_10
91,0.8172400671656427,0.9439368657697499,nf_10
92,0.8298191700245581,0.9490311276025561,nf_10
93,0.846248029997945,0.9553204357786568,nf_10
94,0.8650334695242538,0.96204828415071,nf_10
95,0.8823140110999897,0.9685369287795164,nf_10
96,0.8986084772792445,0.9741854431881386,nf_10
97,0.9143583360485568,0.979174688743422,nf_10
98,0.9297198592615686,0.9838926422484374,nf_10
99,0.9343689469074191,0.9851868706316146,nf_10
100,0.9479880389523222,0.9892183288409704,nf_10
101,0.9593693180530715,0.9919954259576901,nf_10
102,0.9705599454923775,0.9948298930778715,nf_10
103,0.9800526792418627,0.9967697770932272,nf_10
104,0.9881889733017352,0.9981661046351074,nf_10
105,0.9948453729076175,0.9991229196080949,nf_10
106,0.9999765592219537,0.9999601327094588,nf_10
107,1.0,1.0,nf_10
108,1.0,1.0,nf_10
109,0.0,0.0,nf_100
110,0.0005219439129072511,0.02100961183425513,nf_100
111,0.001319705492365789,0.0426683042672191,nf_100
112,0.0023198375410503416,0.06392472219739047,nf_100
113,0.0032809019315831545,0.08404913578999328,nf_100
114,0.004181020775399252,0.10384998076078465,nf_100
115,0.005027226250965948,0.12301923532864077,nf_100
116,0.0060742394894325894,0.14312421537038406,nf_100
117,0.007179072861963806,0.16307469868279392,nf_100
118,0.008405797327928453,0.18297173973034006,nf_100
119,0.009727846879783347,0.20278910321936203,nf_100
120,0.011146002870691521,0.2225141573418012,nf_100
121,0.012820442699075112,0.24218674087691955,nf_100
122,0.01471366141310845,0.2617922786615725,nf_100
123,0.016699079800379893,0.2811461519625943,nf_100
124,0.017914865322062053,0.29199007334222093,nf_100
125,0.02010656094437469,0.31179480502318424,nf_100
126,0.02263970789893353,0.33101653017836113,nf_100
127,0.02529865271274098,0.3505229568536304,nf_100
128,0.027970099177156985,0.3695192528188366,nf_100
129,0.030964244497906364,0.3878586947649901,nf_100
130,0.03230035840669589,0.39587309113946684,nf_100
131,0.03533982221090128,0.4141124502986937,nf_100
132,0.038533993941387575,0.432074881358172,nf_100
133,0.04201335957638157,0.449451390859235,nf_100
134,0.045673217792036605,0.46624197880188273,nf_100
135,0.04954404136171104,0.4827167715430628,nf_100
136,0.05376178573577293,0.49847932464524053,nf_100
137,0.05841161840899306,0.513612230699569,nf_100
138,0.06131434540966737,0.5220191848014085,nf_100
139,0.06673068553582465,0.53577911048751,nf_100
140,0.07266740686856311,0.5490016984923451,nf_100
141,0.07908856716238316,0.5616053279023037,nf_100
142,0.0859855715324914,0.5738989921760524,nf_100
143,0.09337404704214854,0.5851597632216163,nf_100
144,0.09687450921254447,0.5901755626984652,nf_100
145,0.10499120587015004,0.6008300069572112,nf_100
146,0.11361421937740217,0.6115903640681418,nf_100
147,0.12265369412055185,0.6216384815400701,nf_100
148,0.13193070022526412,0.6645477618379475,nf_100
149,0.14143820551307165,0.6744608161314019,nf_100
150,0.15107307136645384,0.6839735392771497,nf_100
151,0.16109548838870133,0.6933142754977905,nf_100
152,0.16526947698563327,0.6969201708597792,nf_100
153,0.1757271077196911,0.7057255127542394,nf_100
154,0.18674106190582976,0.714388989727425,nf_100
155,0.19811287584063833,0.7227356998216,nf_100
156,0.20948312706912084,0.7306859654782403,nf_100
157,0.22169333294786578,0.7390569675109897,nf_100
158,0.23399339444035971,0.7481227189869679,nf_100
