,tweet_time,tweet_language,count
215,03/12/2015,ru,6748
216,08/24/2016,en,6735
217,06/11/2015,en,6703
218,12/07/2014,ru,6666
219,03/17/2015,ru,6660
220,03/30/2015,ru,6659
221,02/15/2015,ru,6624
222,02/21/2015,en,6589
223,07/11/2014,ru,6579
224,12/28/2016,en,6570
225,05/14/2015,ru,6563
226,07/11/2015,en,6544
227,06/24/2014,ru,6543
228,11/15/2015,ru,6529
229,12/10/2014,ru,6522
230,09/18/2016,en,6519
231,06/04/2015,en,6508
232,07/28/2014,en,6507
233,07/10/2015,en,6488
234,03/16/2015,ru,6473
235,08/21/2014,en,6456
236,07/14/2015,en,6451
237,06/05/2015,en,6449
238,02/08/2017,en,6423
239,04/06/2015,ru,6418
240,07/09/2014,ru,6391
241,07/15/2015,en,6382
242,03/10/2015,ru,6381
243,07/30/2014,ru,6369
244,08/24/2014,ru,6365
245,02/24/2015,ru,6362
246,02/07/2015,ru,6358
247,03/23/2015,ru,6348
248,04/03/2015,ru,6344
249,11/29/2014,ru,6343
250,03/01/2015,ru,6328
251,03/29/2015,ru,6324
252,03/15/2015,ru,6310
253,02/09/2015,ru,6302
254,08/16/2014,en,6299
255,06/23/2014,ru,6272
256,10/10/2016,en,6271
257,12/13/2014,ru,6253
258,07/09/2015,en,6241
259,09/29/2015,ru,6238
260,08/17/2014,ru,6238
261,07/24/2015,ru,6224
262,07/26/2014,ru,6221
263,02/20/2015,ru,6218
264,12/18/2014,ru,6218
265,11/11/2014,ru,6210
266,11/22/2015,ru,6202
267,03/03/2015,ru,6190
268,12/23/2014,en,6190
269,09/21/2014,ru,6157
270,09/12/2016,en,6157
271,09/11/2015,ru,6126
272,09/28/2015,ru,6122
273,02/18/2015,ru,6115
274,08/18/2014,en,6103
275,11/21/2015,ru,6103
276,11/08/2016,en,6095
277,01/24/2015,ru,6091
278,08/03/2014,ru,6054
279,12/06/2014,ru,6043
280,11/04/2014,ru,6037
281,08/29/2014,en,6036
282,07/23/2015,en,6036
283,02/26/2015,ru,6027
284,06/01/2015,en,6020
285,08/17/2014,en,6017
286,08/24/2014,en,6010
287,02/01/2015,ru,6006
288,03/06/2015,ru,5997
289,10/19/2015,ru,5993
290,08/13/2014,en,5992
291,05/13/2015,ru,5989
292,09/09/2015,ru,5973
293,03/28/2015,ru,5969
294,11/25/2014,ru,5968
295,08/09/2014,en,5960
296,08/25/2014,en,5957
297,08/20/2015,ru,5957
298,12/15/2014,ru,5945
299,06/09/2015,en,5941
300,08/06/2015,ru,5913
301,08/12/2015,ru,5898
302,08/19/2014,en,5876
303,09/08/2015,ru,5868
304,03/02/2015,ru,5866
305,08/23/2014,en,5859
306,08/04/2014,ru,5834
307,09/05/2016,en,5832
308,06/07/2015,en,5831
309,08/22/2014,en,5820
310,08/10/2014,en,5820
311,08/31/2016,en,5818
312,03/04/2015,ru,5811
313,02/21/2015,ru,5806
314,07/27/2015,en,5795
315,08/15/2014,en,5784
316,08/06/2014,ru,5773
317,08/26/2014,en,5771
318,08/08/2014,en,5771
319,05/02/2015,ru,5765
320,12/01/2014,ru,5745
321,08/30/2014,en,5745
322,04/15/2015,ru,5731
323,12/02/2014,en,5726
324,07/21/2015,en,5699
325,08/20/2014,en,5693
326,11/15/2014,ru,5689
